enterprise_id,enterprise_name,county,sub_county,ward,value_chain,ownership_category,employees,registration_status,year_established,capacity_score,support_need,latitude,longitude
51,Nairobi Circuit Reclaim 051,Nairobi,Kasarani,Kasarani,Electrical and Electronic Waste (E-waste),Youth-owned,12,Registered,2017,3,Technical training,-1.302923,36.860338
52,Nairobi Kitenge Revival 052,Nairobi,Makadara,Makadara,Textiles,Women-owned,10,Registered,2018,3,Business registration support,-1.354595,36.770412
53,Nairobi Electro Recovery 053,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),General/Other,10,Registered,2020,5,Equipment/machinery,-1.276966,36.857094
54,Nairobi Black Soldier Fly Farm 054,Nairobi,Mathare,Mathare,Organic Waste,Women-owned,4,Registered,2019,5,Business registration support,-1.221605,36.882331
55,Nairobi Electro Recovery 055,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),General/Other,3,Not Registered,2023,2,Equipment/machinery,-1.312106,36.852297
56,Nairobi Repurposed Plastics Co 056,Nairobi,Kamukunji,Kamukunji,Plastics and Packaging,Women-owned,3,Registered,2021,2,Equipment/machinery,-1.280509,36.736778
57,Nairobi Organic Waste Solutions 057,Nairobi,Dagoretti North,Dagoretti North,Organic Waste,Women-owned,2,Registered,2023,4,Technical training,-1.323268,36.868921
58,Nairobi PET Collectors 058,Nairobi,Embakasi East,Embakasi East,Plastics and Packaging,Women-owned,4,Not Registered,2024,1,Market linkages,-1.265074,36.872522
59,Nairobi Fabric Reclaim 059,Nairobi,Embakasi East,Embakasi East,Textiles,General/Other,5,Not Registered,2017,4,Certification/standards,-1.296859,36.75249
60,Nairobi Reclaimed Materials 060,Nairobi,Makadara,Makadara,Circular Construction Materials,Youth-owned,15,Registered,2019,3,Access to finance,-1.252796,36.871903
61,Nairobi EcoBrick Works 061,Nairobi,Dagoretti North,Dagoretti North,Circular Construction Materials,Women-owned,25,Not Registered,2025,2,Access to finance,-1.212635,36.767599
62,Nairobi Recycled Blocks Co 062,Nairobi,Mathare,Mathare,Circular Construction Materials,Women-owned,6,Registered,2025,4,Certification/standards,-1.205008,36.872774
63,Nairobi Compost Works 063,Nairobi,Mathare,Mathare,Organic Waste,Women-owned,10,Not Registered,2021,3,Certification/standards,-1.306489,36.820136
64,Nairobi Textile Waste Hub 064,Nairobi,Makadara,Makadara,Textiles,Women-owned,8,Not Registered,2024,4,Equipment/machinery,-1.333485,36.877376
65,Nairobi BioWaste Traders 065,Nairobi,Mathare,Mathare,Organic Waste,Youth-owned,10,Registered,2025,4,Market linkages,-1.337911,36.900132
66,Nairobi TechWaste Solutions 066,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),Women-owned,6,Registered,2024,3,Technical training,-1.293125,36.790403
67,Nairobi Green Compost Co 067,Nairobi,Kibra,Kibra,Organic Waste,Youth-owned,12,Not Registered,2022,4,Equipment/machinery,-1.289107,36.76629
68,Nairobi Electro Recovery 068,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),Women-owned,20,Registered,2022,2,Technical training,-1.378996,36.784862
69,Nairobi Reclaimed Materials 069,Nairobi,Kasarani,Kasarani,Circular Construction Materials,Women-owned,5,Registered,2016,4,Technical training,-1.305509,36.866168
70,Nairobi Thrift & Mend 070,Nairobi,Kibra,Kibra,Textiles,PWD-owned,25,Registered,2024,2,Market linkages,-1.248381,36.903058
71,Nairobi Reclaimed Materials 071,Nairobi,Kasarani,Kasarani,Circular Construction Materials,Youth-owned,5,Registered,2023,3,Market linkages,-1.205608,36.881773
72,Nairobi Thrift & Mend 072,Nairobi,Kibra,Kibra,Textiles,PWD-owned,10,Registered,2015,2,Certification/standards,-1.206727,36.831505
73,Nairobi Construction Waste Reuse 073,Nairobi,Dagoretti North,Dagoretti North,Circular Construction Materials,General/Other,2,Not Registered,2021,3,Equipment/machinery,-1.295931,36.793227
74,Nairobi E-Waste Recyclers 074,Nairobi,Kamukunji,Kamukunji,Electrical and Electronic Waste (E-waste),Youth-owned,2,Not Registered,2016,5,Technical training,-1.2688,36.74155
75,Nairobi EcoBrick Works 075,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,General/Other,10,Registered,2024,4,Equipment/machinery,-1.274797,36.843215
76,Nairobi TechWaste Solutions 076,Nairobi,Kamukunji,Kamukunji,Electrical and Electronic Waste (E-waste),PWD-owned,4,Registered,2016,2,Certification/standards,-1.270315,36.841634
77,Nairobi Fabric Reclaim 077,Nairobi,Embakasi East,Embakasi East,Textiles,Women-owned,5,Registered,2019,5,Equipment/machinery,-1.282741,36.760076
78,Nairobi Black Soldier Fly Farm 078,Nairobi,Kibra,Kibra,Organic Waste,General/Other,4,Registered,2023,5,Certification/standards,-1.258371,36.898204
79,Nairobi Fabric Reclaim 079,Nairobi,Kasarani,Kasarani,Textiles,Youth-owned,25,Not Registered,2019,3,Business registration support,-1.233306,36.744754
80,Nairobi E-Waste Recyclers 080,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),General/Other,10,Registered,2024,5,Business registration support,-1.258138,36.857852
81,Nairobi Repurposed Plastics Co 081,Nairobi,Makadara,Makadara,Plastics and Packaging,Youth-owned,1,Not Registered,2025,5,Business registration support,-1.324082,36.776966
82,Nairobi Green Compost Co 082,Nairobi,Kibra,Kibra,Organic Waste,Women-owned,3,Not Registered,2021,4,Technical training,-1.24474,36.763434
83,Nairobi E-Waste Recyclers 083,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),PWD-owned,8,Not Registered,2019,2,Technical training,-1.319467,36.791896
84,Nairobi E-Waste Hub 084,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),Women-owned,1,Registered,2023,4,Business registration support,-1.300231,36.788513
85,Nairobi Electro Recovery 085,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),General/Other,4,Registered,2017,4,Access to finance,-1.348335,36.79702
86,Nairobi Black Soldier Fly Farm 086,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,3,Registered,2015,2,Certification/standards,-1.294852,36.737096
87,Nairobi EcoBrick Works 087,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,3,Registered,2019,1,Certification/standards,-1.341654,36.883353
88,Nairobi Construction Waste Reuse 088,Nairobi,Dagoretti North,Dagoretti North,Circular Construction Materials,Youth-owned,8,Registered,2024,5,Market linkages,-1.23185,36.908344
89,Nairobi Green Building Materials 089,Nairobi,Mathare,Mathare,Circular Construction Materials,General/Other,5,Not Registered,2019,3,Business registration support,-1.369534,36.870982
90,Nairobi Green Compost Co 090,Nairobi,Kamukunji,Kamukunji,Organic Waste,Youth-owned,6,Registered,2023,5,Equipment/machinery,-1.202298,36.820035
91,Nairobi Electro Recovery 091,Nairobi,Kasarani,Kasarani,Electrical and Electronic Waste (E-waste),Youth-owned,8,Registered,2022,4,Market linkages,-1.225572,36.908439
92,Nairobi Electro Recovery 092,Nairobi,Makadara,Makadara,Electrical and Electronic Waste (E-waste),Youth-owned,12,Not Registered,2020,1,Market linkages,-1.239469,36.849263
93,Nairobi Repurposed Plastics Co 093,Nairobi,Kibra,Kibra,Plastics and Packaging,PWD-owned,3,Registered,2019,4,Certification/standards,-1.287429,36.814147
94,Nairobi Green Compost Co 094,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,6,Registered,2022,5,Equipment/machinery,-1.310553,36.746357
95,Nairobi Recycled Blocks Co 095,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,General/Other,2,Registered,2016,2,Certification/standards,-1.369784,36.845509
96,Nairobi Repurposed Plastics Co 096,Nairobi,Embakasi East,Embakasi East,Plastics and Packaging,Youth-owned,6,Registered,2017,1,Technical training,-1.25718,36.894516
97,Nairobi Textile Waste Hub 097,Nairobi,Dagoretti North,Dagoretti North,Textiles,Youth-owned,8,Registered,2018,1,Business registration support,-1.280233,36.874554
98,Nairobi E-Waste Hub 098,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Women-owned,5,Registered,2017,1,Equipment/machinery,-1.340306,36.846723
99,Nairobi Repurposed Plastics Co 099,Nairobi,Kasarani,Kasarani,Plastics and Packaging,General/Other,5,Registered,2021,3,Equipment/machinery,-1.204323,36.785748
100,Nairobi E-Waste Recyclers 100,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Youth-owned,20,Registered,2015,3,Access to finance,-1.313454,36.796513
101,Nairobi Recycled Blocks Co 101,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,General/Other,6,Registered,2018,2,Business registration support,-1.247969,36.881811
102,Nairobi Construction Waste Reuse 102,Nairobi,Makadara,Makadara,Circular Construction Materials,PWD-owned,2,Not Registered,2025,2,Certification/standards,-1.246096,36.870045
103,Nairobi PET Collectors 103,Nairobi,Mathare,Mathare,Plastics and Packaging,PWD-owned,6,Not Registered,2017,1,Technical training,-1.302752,36.836223
104,Nairobi Fabric Reclaim 104,Nairobi,Mathare,Mathare,Textiles,Women-owned,5,Not Registered,2022,3,Market linkages,-1.285007,36.906768
105,Nairobi BioWaste Traders 105,Nairobi,Mathare,Mathare,Organic Waste,Youth-owned,25,Registered,2021,2,Certification/standards,-1.361369,36.905221
106,Nairobi Construction Waste Reuse 106,Nairobi,Kibra,Kibra,Circular Construction Materials,Women-owned,20,Not Registered,2019,4,Technical training,-1.239777,36.734405
107,Nairobi EcoBrick Works 107,Nairobi,Mathare,Mathare,Circular Construction Materials,PWD-owned,15,Not Registered,2023,4,Access to finance,-1.267161,36.798765
108,Nairobi Green Compost Co 108,Nairobi,Embakasi East,Embakasi East,Organic Waste,Women-owned,8,Registered,2015,3,Certification/standards,-1.265523,36.846273
109,Nairobi PET Collectors 109,Nairobi,Dagoretti North,Dagoretti North,Plastics and Packaging,Women-owned,6,Registered,2023,4,Equipment/machinery,-1.361198,36.774164
110,Nairobi E-Waste Hub 110,Nairobi,Makadara,Makadara,Electrical and Electronic Waste (E-waste),Women-owned,8,Not Registered,2019,4,Business registration support,-1.251312,36.891274
111,Nairobi PET Collectors 111,Nairobi,Embakasi East,Embakasi East,Plastics and Packaging,General/Other,6,Registered,2025,1,Certification/standards,-1.302291,36.903
112,Nairobi Compost Works 112,Nairobi,Dagoretti North,Dagoretti North,Organic Waste,General/Other,20,Registered,2025,4,Access to finance,-1.332441,36.906177
113,Nairobi Recycled Blocks Co 113,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,2,Not Registered,2023,5,Market linkages,-1.240477,36.775742
114,Nairobi Textile Waste Hub 114,Nairobi,Embakasi East,Embakasi East,Textiles,General/Other,5,Not Registered,2017,5,Access to finance,-1.23575,36.77384
115,Nairobi Textile Waste Hub 115,Nairobi,Kasarani,Kasarani,Textiles,General/Other,6,Not Registered,2018,2,Access to finance,-1.238368,36.751687
116,Nairobi Construction Waste Reuse 116,Nairobi,Kibra,Kibra,Circular Construction Materials,PWD-owned,25,Registered,2022,5,Access to finance,-1.350736,36.741332
117,Nairobi Green Compost Co 117,Nairobi,Kamukunji,Kamukunji,Organic Waste,General/Other,20,Registered,2022,1,Certification/standards,-1.36247,36.822591
118,Nairobi Plastics Recyclers 118,Nairobi,Dagoretti North,Dagoretti North,Plastics and Packaging,Youth-owned,2,Registered,2017,4,Access to finance,-1.229586,36.808629
119,Nairobi Packaging Solutions 119,Nairobi,Kasarani,Kasarani,Plastics and Packaging,PWD-owned,12,Registered,2023,4,Business registration support,-1.269723,36.837266
120,Nairobi EcoBrick Works 120,Nairobi,Kibra,Kibra,Circular Construction Materials,Women-owned,4,Registered,2018,5,Certification/standards,-1.239343,36.752495
121,Nairobi TechWaste Solutions 121,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),Youth-owned,20,Registered,2017,4,Technical training,-1.30047,36.806778
122,Nairobi E-Waste Recyclers 122,Nairobi,Kibra,Kibra,Electrical and Electronic Waste (E-waste),Youth-owned,12,Registered,2023,3,Market linkages,-1.232381,36.748681
123,Nairobi Construction Waste Reuse 123,Nairobi,Makadara,Makadara,Circular Construction Materials,PWD-owned,1,Not Registered,2024,4,Certification/standards,-1.360098,36.795548
124,Nairobi BioWaste Traders 124,Nairobi,Kibra,Kibra,Organic Waste,Women-owned,6,Not Registered,2020,2,Access to finance,-1.278075,36.770193
125,Nairobi PET Collectors 125,Nairobi,Kamukunji,Kamukunji,Plastics and Packaging,Women-owned,20,Registered,2015,5,Business registration support,-1.341391,36.80914
126,Nairobi Construction Waste Reuse 126,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,1,Registered,2017,3,Technical training,-1.349625,36.858386
127,Nairobi EcoBrick Works 127,Nairobi,Kibra,Kibra,Circular Construction Materials,Youth-owned,8,Registered,2020,5,Market linkages,-1.356563,36.845871
128,Nairobi Thrift & Mend 128,Nairobi,Kasarani,Kasarani,Textiles,Women-owned,3,Registered,2024,1,Access to finance,-1.252213,36.87173
129,Nairobi Plastics Recyclers 129,Nairobi,Kasarani,Kasarani,Plastics and Packaging,Women-owned,4,Not Registered,2016,4,Technical training,-1.30234,36.808223
130,Nairobi Black Soldier Fly Farm 130,Nairobi,Kibra,Kibra,Organic Waste,Women-owned,4,Registered,2024,3,Access to finance,-1.331116,36.854028
131,Nairobi Plastics Recyclers 131,Nairobi,Embakasi East,Embakasi East,Plastics and Packaging,Youth-owned,6,Registered,2022,3,Technical training,-1.327845,36.769922
132,Nairobi Circuit Reclaim 132,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Women-owned,8,Not Registered,2015,3,Access to finance,-1.313663,36.858561
133,Nairobi E-Waste Recyclers 133,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),Women-owned,25,Registered,2019,5,Equipment/machinery,-1.216291,36.88708
134,Nairobi Repurposed Plastics Co 134,Nairobi,Kibra,Kibra,Plastics and Packaging,General/Other,6,Registered,2016,4,Certification/standards,-1.208184,36.762837
135,Nairobi Kitenge Revival 135,Nairobi,Kamukunji,Kamukunji,Textiles,General/Other,6,Not Registered,2016,3,Market linkages,-1.310019,36.746056
136,Nairobi Recycled Blocks Co 136,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,Women-owned,2,Registered,2018,2,Market linkages,-1.290309,36.894966
137,Nairobi Textile Waste Hub 137,Nairobi,Embakasi East,Embakasi East,Textiles,Youth-owned,15,Not Registered,2022,4,Equipment/machinery,-1.245261,36.849892
138,Nairobi Reclaimed Materials 138,Nairobi,Kasarani,Kasarani,Circular Construction Materials,Youth-owned,10,Registered,2019,1,Equipment/machinery,-1.226536,36.844799
139,Nairobi Recycled Blocks Co 139,Nairobi,Kasarani,Kasarani,Circular Construction Materials,Women-owned,5,Registered,2016,1,Technical training,-1.290779,36.787773
140,Nairobi Reclaimed Materials 140,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,General/Other,15,Registered,2020,1,Equipment/machinery,-1.312893,36.836359
141,Nairobi EcoBrick Works 141,Nairobi,Kamukunji,Kamukunji,Circular Construction Materials,Youth-owned,2,Registered,2017,3,Certification/standards,-1.354945,36.743037
142,Nairobi Packaging Solutions 142,Nairobi,Makadara,Makadara,Plastics and Packaging,Women-owned,6,Not Registered,2021,2,Technical training,-1.303304,36.810996
143,Nairobi TechWaste Solutions 143,Nairobi,Makadara,Makadara,Electrical and Electronic Waste (E-waste),Women-owned,2,Registered,2021,1,Technical training,-1.274481,36.873961
144,Nairobi BioWaste Traders 144,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,2,Registered,2017,2,Technical training,-1.228818,36.905494
145,Nairobi BioWaste Traders 145,Nairobi,Makadara,Makadara,Organic Waste,Women-owned,12,Registered,2020,1,Technical training,-1.256374,36.802452
146,Nairobi Textile Waste Hub 146,Nairobi,Kibra,Kibra,Textiles,Women-owned,3,Not Registered,2020,3,Technical training,-1.265816,36.808113
147,Nairobi Circuit Reclaim 147,Nairobi,Embakasi East,Embakasi East,Electrical and Electronic Waste (E-waste),Youth-owned,12,Not Registered,2023,1,Business registration support,-1.202104,36.75979
148,Nairobi PET Collectors 148,Nairobi,Mathare,Mathare,Plastics and Packaging,Youth-owned,15,Not Registered,2017,2,Certification/standards,-1.270854,36.839404
149,Nairobi E-Waste Recyclers 149,Nairobi,Dagoretti North,Dagoretti North,Electrical and Electronic Waste (E-waste),General/Other,25,Not Registered,2018,5,Technical training,-1.316526,36.861425
150,Nairobi Green Building Materials 150,Nairobi,Kasarani,Kasarani,Circular Construction Materials,General/Other,20,Not Registered,2022,2,Technical training,-1.208293,36.873087
151,Nairobi TechWaste Solutions 151,Nairobi,Mathare,Mathare,Electrical and Electronic Waste (E-waste),General/Other,3,Not Registered,2015,2,Business registration support,-1.313363,36.826843
152,Nairobi TechWaste Solutions 152,Nairobi,Kamukunji,Kamukunji,Electrical and Electronic Waste (E-waste),Women-owned,2,Not Registered,2019,1,Technical training,-1.213927,36.859952
153,Kiambu E-Waste Hub 153,Kiambu,Ruiru,Ruiru,Electrical and Electronic Waste (E-waste),General/Other,1,Registered,2021,4,Technical training,-1.091949,36.737611
154,Kiambu Construction Waste Reuse 154,Kiambu,Ruiru,Ruiru,Circular Construction Materials,Youth-owned,25,Registered,2017,3,Access to finance,-1.19872,36.735185
155,Kiambu Textile Upcyclers 155,Kiambu,Kikuyu,Kikuyu,Textiles,General/Other,15,Registered,2016,4,Equipment/machinery,-1.071225,36.828989
156,Kiambu PET Collectors 156,Kiambu,Ruiru,Ruiru,Plastics and Packaging,PWD-owned,2,Not Registered,2018,5,Equipment/machinery,-1.091009,36.847313
157,Kiambu Compost Works 157,Kiambu,Thika Town,Thika Town,Organic Waste,Women-owned,10,Registered,2015,1,Access to finance,-1.234175,36.868948
158,Kiambu Reclaimed Materials 158,Kiambu,Ruiru,Ruiru,Circular Construction Materials,Youth-owned,15,Registered,2025,3,Market linkages,-1.118949,36.785505
159,Kiambu EcoPack 159,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,Women-owned,1,Registered,2022,5,Business registration support,-1.275157,36.841854
160,Kiambu Repurposed Plastics Co 160,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,General/Other,25,Registered,2016,3,Market linkages,-1.230524,36.719498
161,Kiambu Construction Waste Reuse 161,Kiambu,Ruiru,Ruiru,Circular Construction Materials,General/Other,10,Not Registered,2022,2,Certification/standards,-1.280759,36.846643
162,Kiambu Fabric Reclaim 162,Kiambu,Thika Town,Thika Town,Textiles,Youth-owned,4,Not Registered,2020,2,Access to finance,-1.119549,36.942065
163,Kiambu Green Compost Co 163,Kiambu,Limuru Central,Limuru Central,Organic Waste,Youth-owned,6,Not Registered,2015,2,Technical training,-1.054011,36.845927
164,Kiambu BioWaste Traders 164,Kiambu,Thika Town,Thika Town,Organic Waste,Women-owned,6,Not Registered,2022,4,Equipment/machinery,-1.099558,36.820468
165,Kiambu TechWaste Solutions 165,Kiambu,Juja,Juja,Electrical and Electronic Waste (E-waste),Women-owned,3,Registered,2020,4,Business registration support,-1.227387,36.735427
166,Kiambu Plastics Recyclers 166,Kiambu,Kikuyu,Kikuyu,Plastics and Packaging,Women-owned,25,Registered,2022,4,Market linkages,-1.132779,36.789159
167,Kiambu PET Collectors 167,Kiambu,Juja,Juja,Plastics and Packaging,General/Other,20,Registered,2020,1,Access to finance,-1.051844,36.781493
168,Kiambu Green Building Materials 168,Kiambu,Thika Town,Thika Town,Circular Construction Materials,General/Other,2,Registered,2025,1,Market linkages,-1.257133,36.861417
